prov_name_fr_1,Census_subdivision,prov_name_fr_2,Electoral_district,area,prov_name_fr,total_tract_area,tract_percent
Nouvelle-Écosse,"Cumberland, Subd. A",Nouvelle-Écosse,Cumberland--Colchester,1149999498.020006,Nouvelle-Écosse,2147032933.2155352,0.5356226633644098
Nouvelle-Écosse,"Cumberland, Subd. B",Nouvelle-Écosse,Cumberland--Colchester,1179323870.1448767,Nouvelle-Écosse,1287548438.222386,0.9159452453478751
Nouvelle-Écosse,"Cumberland, Subd. C",Nouvelle-Écosse,Cumberland--Colchester,923521072.9324476,Nouvelle-Écosse,1278693878.1118286,0.7222378152745647
Nouvelle-Écosse,"Cumberland, Subd. D",Nouvelle-Écosse,Cumberland--Colchester,1098559334.3394356,Nouvelle-Écosse,1997736126.777612,0.5499021215136324
Nouvelle-Écosse,Digby,Nouvelle-Écosse,Nova-Ouest,1193207.2705596401,Nouvelle-Écosse,1942024.596241066,0.614414087684153
Nouvelle-Écosse,Digby,Nouvelle-Écosse,Nova-Ouest,1193207.2705596401,Nouvelle-Écosse,2417089732.5757446,0.0004936545195151328
Nouvelle-Écosse,Digby,Nouvelle-Écosse,Nova-Ouest,1677807484.6291869,Nouvelle-Écosse,1942024.596241066,863.9475977166865
Nouvelle-Écosse,Digby,Nouvelle-Écosse,Nova-Ouest,1677807484.6291869,Nouvelle-Écosse,2417089732.5757446,0.6941436480478738
Nouvelle-Écosse,East Hants,Nouvelle-Écosse,South Shore--St. Margarets,79234.60315960635,Nouvelle-Écosse,2003887826.6694531,3.9540438394347473e-05
Nouvelle-Écosse,East Hants,Nouvelle-Écosse,Sackville--Preston--Chezzetcook,1144538.2751804206,Nouvelle-Écosse,2003887826.6694531,0.0005711588542771338
Nouvelle-Écosse,East Hants,Nouvelle-Écosse,Kings--Hants,1814373654.0393958,Nouvelle-Écosse,2003887826.6694531,0.9054267558753336
Nouvelle-Écosse,East Hants,Nouvelle-Écosse,Nova-Centre,2565584.2086696634,Nouvelle-Écosse,2003887826.6694531,0.0012803033056664522
Nouvelle-Écosse,East Hants,Nouvelle-Écosse,Halifax-Ouest,6076618.662669543,Nouvelle-Écosse,2003887826.6694531,0.0030324145801959093
Nouvelle-Écosse,East Hants,Nouvelle-Écosse,Cumberland--Colchester,13253212.085201766,Nouvelle-Écosse,2003887826.6694531,0.006613749486780988
Nouvelle-Écosse,Eskasoni 3,Nouvelle-Écosse,Sydney--Victoria,33774041.31398418,Nouvelle-Écosse,35281591.40261604,0.9572709158317593
Nouvelle-Écosse,Fisher's Grant 24,Nouvelle-Écosse,Nova-Centre,1226163.8110592093,Nouvelle-Écosse,1226163.811059209,1.0000000000000002
Nouvelle-Écosse,Glooscap 35,Nouvelle-Écosse,Kings--Hants,1812197.4877290947,Nouvelle-Écosse,1812197.4877290945,1.0000000000000002
Nouvelle-Écosse,Gold River 21,Nouvelle-Écosse,South Shore--St. Margarets,1799339.755192348,Nouvelle-Écosse,1799339.7551923478,1.0000000000000002
Nouvelle-Écosse,Guysborough,Nouvelle-Écosse,Cape Breton--Canso,2241025700.4353056,Nouvelle-Écosse,3122243092.2003036,0.71776144081594
Nouvelle-Écosse,Guysborough,Nouvelle-Écosse,Nova-Centre,11718027.866136845,Nouvelle-Écosse,3122243092.2003036,0.0037530799236644096
Nouvelle-Écosse,Halifax,Nouvelle-Écosse,Cumberland--Colchester,0.023320626643874142,Nouvelle-Écosse,7628150949.381865,3.057179491940166e-12
Nouvelle-Écosse,Halifax,Nouvelle-Écosse,Halifax-Ouest,256969383.5797834,Nouvelle-Écosse,7628150949.381865,0.033686981980948674
Nouvelle-Écosse,Halifax,Nouvelle-Écosse,Sackville--Preston--Chezzetcook,729661009.166243,Nouvelle-Écosse,7628150949.381865,0.09565371923131252
Nouvelle-Écosse,Halifax,Nouvelle-Écosse,Dartmouth--Cole Harbour,89482552.8139799,Nouvelle-Écosse,7628150949.381865,0.01173056923070341
Nouvelle-Écosse,Halifax,Nouvelle-Écosse,Halifax,183015243.76079434,Nouvelle-Écosse,7628150949.381865,0.0239920847103353
Nouvelle-Écosse,Halifax,Nouvelle-Écosse,Kings--Hants,1491789.6876600194,Nouvelle-Écosse,7628150949.381865,0.00019556373458772525
